ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region,HRAF_region
CCMCchip1241,Chippewa,47.347,-94.2738,chip1241,,,,,,,,,,,North-Central U.S.A.,
CCMCchoc1280,Chocoan,6.733067083333334,-76.96017,choc1280,,,,,,,,,,,Western South America,
CCMCchok1245,Chokwe,-9.66082,21.3992,chok1245,,,,,,,,,,,South Tropical Africa,
CCMCchuk1273,Chukchi,68.6436,170.045,chuk1273,,,,,,,,,,,Russian Far East,
CCMCchuu1238,Chuukese,7.346993,151.598607,chuu1238,,,,,,,,,,,Northwestern Pacific,
CCMCcoca1259,Cocama-Cocamilla,-4.5,-74.0,coca1259,,,,,,,,,,,Western South America,
CCMCcogu1240,Cogui,10.9485,-73.8043,cogu1240,,,,,,,,,,,Western South America,
CCMCcree1272,Cree,53.343979208660386,-91.26566754642054,cree1272,,,,,,,,,,,Eastern Canada,
CCMCcroa1245,Croatian Standard,45.555,15.982,croa1245,,,,,,,,,,,Southeastern Europe,
CCMCcusc1236,Cusco Quechua,-14.0853,-71.7663,cusc1236,,,,,,,,,,,Western South America,
CCMCczec1258,Czech,49.873398,15.10437,czec1258,,,,,,,,,,,Middle Europe,
CCMCdako1258,Dakota,45.86,-96.58,dako1258,,,,,,,,,,,North-Central U.S.A.,
CCMCdama1270,Damara,-25.0747,17.9767,dama1270,,,,,,,,,,,Southern Africa,
CCMCdani1285,Danish,54.8655,9.36284,dani1285,,,,,,,,,,,Northern Europe,
CCMCdari1249,Dari,31.0405,67.3593,dari1249,,,,,,,,,,,Indian Subcontinent,
CCMCdhuw1249,Dhuwal,-12.7825,136.008,dhuw1249,,,,,,,,,,,Australia,
CCMCdizi1235,Dizin,6.1405,35.5763,dizi1235,,,,,,,,,,,Northeast Tropical Africa,
CCMCdjap1238,Djapu,-12.879764,136.417978,djap1238,,,,,,,,,,,Australia,
CCMCdomi1242,Dominican Spanish,40.4414,-1.11788,domi1242,,,,,,,,,,,Southwestern Europe,
CCMCdrav1251,Dravidian,22.000694930590036,79.45764897410312,drav1251,,,,,,,,,,,Indian Subcontinent,
CCMCduma1252,Duma (Karanga),-17.20849,29.75725,duma1252,,,,,,,,,,,South Tropical Africa,
CCMCduma1253,Duma,-0.91927,13.0046,duma1253,,,,,,,,,,,West-Central Tropical Africa,
CCMCdutc1256,Dutch,52.0,5.0,dutc1256,,,,,,,,,,,Middle Europe,
CCMCeast2534,Eastern Canadian Inuktitut,62.1735,-75.6139,east2534,,,,,,,,,,,Eastern Canada,
CCMCecua1248,Ecuadorian Quechua A,-1.02793,-78.50203333333334,ecua1248,,,,,,,,,,,Western South America,
CCMCeipo1242,Eipomek,-4.33691,140.045,eipo1242,,,,,,,,,,,Papuasia,
CCMCelna1235,El Nayar Cora,22.4099,-104.467,elna1235,,,,,,,,,,,Mexico,
CCMCemil1243,Emiliano-Romagnolo,44.294250000000005,11.649149999999999,emil1243,,,,,,,,,,,Southeastern Europe,
CCMCesto1258,Estonian,58.55,25.82,esto1258,,,,,,,,,,,Eastern Europe,
CCMCeven1259,Evenki,61.972,94.689,even1259,,,,,,,,,,,Siberia,
CCMCewee1241,Ewe,6.46061,0.814975,ewee1241,,,,,,,,,,,West Tropical Africa,
CCMCfang1246,Fang (Equatorial Guinea),1.723965,11.61454,fang1246,,,,,,,,,,,West-Central Tropical Africa,
CCMCfata1245,Fataleka,-8.59041,160.861,fata1245,,,,,,,,,,,Papuasia,
CCMCfiji1243,Fijian,-18.0,178.33,fiji1243,,,,,,,,,,,Southwestern Pacific,
CCMCfinn1318,Finnish,64.7628,25.5577,finn1318,,,,,,,,,,,Northern Europe,
CCMCgali1262,Galibi Carib,5.83772,-56.8323,gali1262,,,,,,,,,,,Northern South America,
CCMCgand1255,Ganda,0.66884,32.15153,gand1255,,,,,,,,,,,East Tropical Africa,
CCMCgari1256,Garifuna,15.3529,-86.9091,gari1256,,,,,,,,,,,Central America,
CCMCgaro1247,Garo,25.2954,90.462,garo1247,,,,,,,,,,,Indian Subcontinent,
CCMCgheg1238,Gheg Albanian,42.317,21.3837,gheg1238,,,,,,,,,,,Southeastern Europe,
CCMCgilb1244,Gilbertese,0.179,173.64,gilb1244,,,,,,,,,,,Southwestern Pacific,
CCMCgily1242,Amur Nivkh,52.59,140.681,gily1242,,,,,,,,,,,Russian Far East,
CCMCgour1247,Gourara,29.1107,0.01992,gour1247,,,,,,,,,,,Northern Africa,
CCMCgree1280,Greenlandic Inuit,67.4948555,-45.2475555,gree1280,,,,,,,,,,,Subarctic America,
CCMCgren1247,Grenadian Creole English,12.0067,-61.6989,gren1247,,,,,,,,,,,Caribbean,
